Calling all Vols!  UTSPORTS.COM Tennessee Athletics Collecting Items for Tornado Disaster Relief - University of Tennessee Athletics  Tennessee Athletics 3 ч. ·  The Volunteer Spirit in action today!  Now to 6pm::: stop by our donation site to drop items for disaster relief in Marshall County::: Kentucky.  More info ⤵️,2022-01-05 18:36:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volunteers did what Vols do best::: leading the way in service and spirit this past year. Check out some of our favorite moments from 2021.  NEWS.UTK.EDU 2021 Wrapped: A Year in Photos - News,2022-01-05 15:55:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a winter wonderland on campus today! ❄️,2022-01-03 15:09:46,Dixie The Praying Dog,Rosie Mae is not a fan of snow!,Hayden Womack,Great pics!,That's about as much snow as I ever saw there::: and that was once.,Omg. So beautiful In the snow.,Poor Smokey!,Did somebody hit Smokey with a snowball,Maddie Graves,Jeremy Winsett,Steph Tatton you lied to me about the snow 😡,Jayden Smith,If you’re cold::: they’re cold. #bringsmokeyinsi de,William Maxwell,Hide the trays?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy new year to all of our Volunteer family!,2022-01-01 05:00:03,Happy New Year's,Happy New Year UT🧡🧡🧡,Happy New Year 🧡🧡,Rose Bowl parade- a HS from Dyersburg playing Rocky Top! Great way to start 2022,Happy new year!!!,Happy New Year!!!!,UT family::: let's have the best year ever!!!!! Happy New Year folks!,Happy New Year from a great fan,What a beautiful view! Have a Happy New Year UT Family!🧡🖤🤍,Happy new year vols,Happy new year,🧡🧡🧡🧡🧡🧡🧡,Jason Russell,Top fan John Barbalinardo,Happy New Year,Happy New Year,Happy New Year!!,Dzung Nguyen,Happy New Year Big 🏈range C🏀untry,Happy New Year,Happy New Year!!!,This looks like it was a fun place to be on New Years Eve. UT was much quieter when I attended it!,Obviously there is a man on here who wants to meet women. Creepy. Sorry. Not interested. This is not why I comment on my school’s Fb page. Don’t ask me to friend you buddy. Not interested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to LVFL Candace Parker!  WNBA 29 December 2021 г.::: 12:58 ·  More history for Candace Parker 📝  Congrats on being named the Associated Press Female Athlete of the Year 👏  This is only the second time a #WNBA player has won this award. The first was Parker herself in 2008 👌,2021-12-29 20:08:37,Congratulations 🏀🧡,Congratulations 👏,Congratulations ! Well deserved🧡,Congrats Candice.,Such a class act. Carrying on Pat s legacy 🧡,Congrats!!,Well deserved 🧡,Lady Vol forever.,Congratulations 🎉,Congratulations !,Congratulations 🎆,Chris Russell,Congratulations,Well deserved.,Congratulations,Lady Vols! Represent!!!,Sue Ross,Congratulations !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remembering E.O. Wilson—two-time Pulitzer Prize winner::: ant expert::: and father of sociobiology—who attended UT for a short time in the 1950s and was awarded an honorary degree in 2014.  TWITTER.COM Bitter Southerner on Twitter,2021-12-27 15:44:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warmest wishes from Rocky Top ✨,2021-12-26 00:14:51,Our Finn LOVES this! 🧡🧡🧡,We watched Smokey’s Yule Log all day yesterday. It was wonderful!,Neil Powers,Drew Fleming Carolina Fleming Carlie Fleming,Merry Christmas::: my daughter was a student there,Merry Christmas VOLS!😀🎄🎷🎶,Merry Christmas,Amen,Merry Christmas,Sheila Gregory,And to ya all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokey::: is that you? Good grief! Happy VOLidays!,2021-12-24 21:34:14,Oh wow!! It’s the 2nd best rock painting yet. The photo I am posting was done in late March..right before Easter. Thank you for sharing this with me. Merry Christmas to you and your precious family. I love all of you!🎁🥰🎄,This is so cute. I love it!! 🎄,Best ever!!!!! Christmas Time is Here! 🎄🐶🎹,Great Christmas greeting 🌲🌲🌲🌲,Parker Mills🧡,Merry Christmas 🤶🎄,Jesus Christ. Lord God & Savior. Merry Christmas ⛄️🎄♥️,Merry Christmas Vol Nation!,This makes my heart smile. Thank you so much.,Love it. Great job!,Beautiful picture,Love this!,Love it!,This is awesome!,Awesome-Love This🎄🧡,Love it,Who did this? It’s amazing !,Love it!!! That's awesome,Love it,Steve Doyal,Ben Briley,MaryHope Roark,Very cute!!,Connie Jenkins Johnson,Andy Sistanich,Matthew Megazzini,Scott Rawles look snoopy is smokey,❤❤,Steve Barrett,Rebekah Knisley,JoAnne Srygley McGehee,Tyler Smith,Melanie Thompson Wilburn,Melanie Mitchell Gunter David Gunter,🧡🎄🤍,Cue Charlie Brown/rocky top,Joe Roberts,Jeremy ❤️,Cindy Bush,Trent Harris 🧡,Jordan Marie Murphy !!!!!,Charles Brock,Lisa,Kim Carpenter,Mark Bowman,Princess Tyger,Chris Johnson,Hope McNabb look how cute !,Kellee Rivera,Merry Christmas!,Merry ChristMas,Very cool!,Brianna Deyo omg,Thelma Upton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In case you missed it: We've got eight hours of everyone's favorite good boy bringing holiday cheer for your next party.  🔥 Find the full version at tiny.utk.edu/yule-log.,2021-12-23 16:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making it to the stage of The Metropolitan Opera is a dream for many singers. And that dream came true for alumnus Rocky Sellers when he briefly took over a role in the show Fire Shut Up in My Bones.  NEWS.UTK.EDU Alumnus Makes Met Opera Debut - News,2021-12-22 14:05:00,Tennessee proud!,Well contratulations ::: was hoping to see a video but nope.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
