It's time for you to stop and enjoy the view... #WarEagle,11/19/2021 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Auburn University Student Affairs
Вчера в 07:18 ·

WAR DAMN FINALS CRAM!🍔📚 Thanks to Auburn alumna OctaviaSpencer::: students will enjoy free food (while supplies last) throughout the week of final exams. War Damn Finals Cram kicks off this Sunday::: Dec. 5 at The Edge from 10 p.m.-midnight. Stay tuned to our social media for MORE free food opportunities during the week of finals!",12/2/2021 1:58,What a great thing to do! Hope you're not making chocolate pie. 😆WAR EAGLE!,Logan::: this is pretty cool.,Jessica Hazel,Lauren Atkison,Ashlynn Wombolt i didn’t know she was alum!! Love her even more now,Katie Kirkpatrick,Cade Bugos,Mary Katherine Alemany,Dana Hall McCain tell Virginia!,Monica Guttenberger Williams tell Ben! Free food!,Ashley Strohaker,Thank you!!,War eagle thanks awesome job,She is amazing!!! WDE!!🐅🦅,Thank You and WAR EAGLE!!!,You are wonderful!!!! War Eagle!!!!!,Wow! How thoughtful!!,Thank you::: Octavia!,How special,That is AUsome.,What a wonderful thing to do. War Eagle.,Great gift.,She’s a rock star,War Eagle 🦅!!,Thanks that’s wonderful. If as in days of old the very best movies will be showing that week.,AUsome! 🧡💙🦅 pop,How nice of her to do this!!,Thank you! War Eagle!,Thank you Octavia!,Excellent,🧡🦅💙,Love her!! Thank you!🧡💜,You are the best!,War Eagle ::: thank you so much! What a wonderful gift!,That is AUsome!!,WOW!!!! This is great.,💕💕💕💕,Hayley::: here is the solution to it all.,Lyon Jernigan:::Blake Jernigan,Kyle Arsenault,Cady Finley,Gracie Sullivan Lane Chapman Sullivan,Mallory Smith Beck wow,Love it!!,Milford Lopez,Great::: but you should probably steer clear of the pie if Octavia made it. :),What a sweet touch! Check it out::: Ellie Morgan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How did Auburn::: Alabama::: get its name::: and why is it referred to as “the loveliest village?”

A new book::: “Auburn: A History in Street Names:::” authored by Sam Hendrix::: provides a comprehensive history of the city of #Auburn and so much more. The book tells the stories of the “village” and its people::: street by street::: act by act::: over nearly two centuries.

To commemorate the book’s debut::: the public is invited to a book talk with author Sam Hendrix on Thursday::: Dec. 2::: at 4 p.m. at the Caroline Marshall Draughon Center for the Arts & Humanities at Pebble Hill at Pebble Hill::: located at 101 S. Debardeleben Street in Auburn. #WarEagle

OCM.AUBURN.EDU
Street Names book tells history of Auburn and provides future ‘camperships’ to Auburn Youth Programs",12/1/2021 19:29,All the best,Sounds interesting!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a land-grant institution::: #Auburn is dedicated to improving the lives of the people of Alabama::: the nation and the world through forward-thinking education::: life-enhancing research and scholarship::: and selfless service.
The Mission of the @United Way of Lee County::: Inc. is to increase the organized capacity of people to care for one another.

One of the ways that they do this in the community is by generating and applying the necessary resources to meet the needs of the community::: recognizing that meeting basic human needs should be the overriding consideration in all decisions.

Learn more: http://ocm.auburn.edu/united-way/",11/30/2021 21:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“These dogs are simply amazing. Their detection abilities far outweigh where all other technologies are today. I genuinely believe we can protect our community and visitors to #Auburn and the university in ways that could not be done without these dogs. And they are so much more than simple tools to their handlers.

They are police officers::: they are friends and they are family.” #WarEagle

OCM.AUBURN.EDU
A Partnership Worth Barking About",11/30/2021 20:48,Dawn Gravette Norrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As America recognizes National Diabetes Month in November::: #Auburn scientists are devoted year-round to researching this debilitating disease that affects one in 10 Americans.

Auburn’s Boshell Diabetes and Metabolic Diseases Research Program has 54 faculty members from 10 academic units across campus researching causes and treatments for diabetes and obesity-related health issues::: principally focusing on the cardiac::: neurological and metabolic aspects. #WarEagle

OCM.AUBURN.EDU
Auburn’s Boshell diabetes research program brings together faculty in fight against deadly disease",11/29/2021 20:24,Patty Boshell Wilson,I can’t love this enough! 🧡💙 #weneedacure,Jennifer Goodwin💗,"https://
www.nytimes.com/
2021/11/27/
health/
diabetes-cure-st
em-cells.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#ICYMI This week’s academic recognition — Auburn has held the pole position in regional transportation and infrastructure research for decades. That won’t be ending any time soon.

In early 2021::: we established the Transportation Research Institute to provide even greater visibility and a shared identity for all transportation-related research and educational programs at our university. #WarEagle
➡️ ocm.auburn.edu/onfield
•••
Prior to each home game during the Auburn Football 2021 season::: #Auburn is recognizing extraordinary programs and people who lead life-changing research::: industry partnerships::: community outreach and an elevated student experience.",11/28/2021 20:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"🍂When we say ""The Loveliest Village:::"" this is what we mean... #WarEagle",11/26/2021 16:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Kacie Saulters::: #AuburnGrad and first-generation student::: says ‘thank you’ to #Auburn through a scholarship for other students. #WarEagle

OCM.AUBURN.EDU
From Alabama to Washington::: D.C.—A story of thanks and giving",11/25/2021 18:30,Dr. Kacie Jackson Saulters is pretty incredible. I’m so proud of your achievements::: and your humble spirit and love for others. Your making such a difference!,What an appropriate post for Thanksgiving Day.,War Eagle 🦅,AU-some!,"🔥 Grab your discount & superb papers even if deadlines are strict! It’s time to think about Christmas preparation::: not exams! 😉 https://
writepaperfor.me
/
place-new-order?
rt=kyh1QMik&dis
count=ORIGINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We're thankful for the #AuburnFamily each and every day.🧡,11/25/2021 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
