"From the grassy fields where we play to the undiscovered depths.
From labs::: classrooms::: and boardrooms to waterways::: forests::: and farms around the world.
From a safer future in cyberspace to orbiting our planet in outer space:::

You can feel the Bulldog Nation’s impact everywhere you go.

It all starts here…at the University of Georgia.
But where it goes? The possibilities are endless.",9/4/2021 6:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our new MFA program is training the next generation of filmmakers in the South.
https://t.uga.edu/7CV",12/2/2021 15:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 100:::000-square-foot space features flexible::: open lab spaces designed to promote collaboration and houses more than 30 faculty and 100 graduate students working in areas ranging from cell imaging and microfluidic separation to combustion chemistry and medical robotics.

https://news.uga.edu/uga-dedicates-phase-1-istem-research-complex/?utm_medium=social&utm_content=text_link&utm_source=facebook&utm_campaign=news_release

NEWS.UGA.EDU
UGA celebrates completion of phase 1 of I-STEM research complex",12/1/2021 15:00,Yay!! So happy the STEM field is getting recognition!,"So ""Ag Hill"" is now ""Science Hill"" ? ? ?","Join: https://
www.facebook.com
/groups/
1154470481693356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Upward Bound program introduced Tavaria Smith to the University of Georgia. Now::: she’s committed to helping Athens students and giving back to the community that raised her. https://t.uga.edu/7Cp

UGA.EDU
Tavaria Smith's journey from Athens to UGA",11/30/2021 16:09,Outstanding! Love CCHS and UGA!,Inspirational story. Thanks for sharing.,❤🖤❤🖤,Much love 💋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"That 12-0::: perfect regular season feeling...

It's great to be a Georgia Bulldog!",11/29/2021 15:05,Keep choppin' gotta beat Bama. GO DAWGS!!!,Go Dawgs win it all!,Now let's finish this season with 2 more WINS !!!!,I was lucky enough to have got to see the Number 1 team play twice this year. Go Dawgs,Great job::: Bulldawgs!,"So Proud of My Dawgs
🖤♥️🖤♥️",Beat Alabama!!!!,Proud for the team and coach!,Go Dawgs! Win it all!!!! 🏆🐾🐾❤️🖤,"Its a FANtastic feeling!!!
❤🏈GOOO DAWGS🏈❤
🏈❤DAWG FOR LIFE❤🏈",Love my Dawgs!,YES IT IS! Go Dawgs! ♥️🖤,Go Dawgs!! #BeatBama,I don’t know how or who to get to::: but someone needs to tell Kirby and the DAWGs to watch the passing plays and the spread Utah beat Alabama down with in the 2009 sugar bowl!! By Gods Grace I pray you guys come out on top this weekend but at the end of it all may best team win! Go in with a clean mind and a pure heart and y’all fight and don’t give up 110% all the way!! Much love to you all.,Would rather have that 15-0 feeling. Keep working!,GO DAWGS!!!,GO DAWGS!!,Darn right! Go dawgs,Don't celebrate until you beat Alabama,Thank you and love and Best Wishes always ❤ Your number one fan from the Big Apple 🍎!!:Good luck in the playoffs!! Go Dawgs!!,Congrats! See yall soon! #RollTide,From what I have seen::: Ala. will not be a problem for Georgia. If that’s the case I hope Georgia goes all way to the national championship and wins and I believe they will.,Dawgs get it done!,❤️🖤Whoop it up::: all you Fan Dawgs!❤️🖤,Love My Dawgs,Like I used to say for The Dalton Catamounts. LETS GO BIG RED AND BLACK.,YEAH!!!,"Congratulations
!! ❤️🖤🏈🐶🐾🖤❤️",Always and forever!!!🏈🐾❤️,Congrautions 🎉🎉,Awesome Dawg!!,Gayle Inscho Scott,Outstanding,❤️❤️❤️❤️❤️❤️DAWG FOR LIFE❤️❤️❤️❤️❤️❤️,Yes it is!,Yes it is!,Yesss I agree 🖤♥️,Why::: yes it is!!,Go Dawgs! Woof!,Let’s keep it up!! GO DAWGS!!,Geaux Dawgs. (-:,Go Brady Go. Read “Let’s Blow-Up Now” at my-tribute.net::: search for Donzo.,"The holiday break is a great time to get a leg up on scholarship applications. Here’s one just for accounting students: https://
www.sosinventory
.com/
accounting-schol
arship",Go Dawgs!,"Remember to refer your friends essaywritingpoo
l.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arthur N. Dunning::: esteemed scholar::: lecturer and author::: will deliver the keynote address at the 19th annual Martin Luther King Jr. Freedom Breakfast. Hosted by UGA in collaboration with Athens-Clarke County::: GA Unified Government and the Clarke County School District::: the event will be held January 14. The theme for this year’s event is The Power of the Dream: Footsteps of Courage.

NEWS.UGA.EDU
Former Albany State president to give Freedom Breakfast keynote",11/28/2021 15:00,"Join: https://
www.facebook.com
/groups/
1154470481693356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“The idea is to better serve the community and meet people where they are with hot meals::: specifically folks who are experiencing homelessness.""

More food insecure Athens-area residents will now be served by UGA's Campus Kitchen program::: thanks to its new mobile food trailer::: which was purchased with grant money from the Parents Leadership Council and funds raised by the Young Alumni network.

NEWS.UGA.EDU
Mobile kitchen trailer a boon for Campus Kitchen",11/27/2021 15:30,Thankful for all your help with Covenant Presbyterian Church's Food Pantry on Thursday afternoons::: too.❗❤❗,what a wonderful idea,Proud alumna!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We continue to invest in the Athens community through the University of Georgia Small Business Development Center

With 18 locations across the state::: the SBDC goal is to enhance the economic well-being of Georgians by providing a wide range of educational services for small business owners and aspiring entrepreneurs.",11/26/2021 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Thanksgiving::: Bulldogs!,11/25/2021 15:00,Happy Thanksgiving!!,Happy Thanksgiving!🦃,Robert Veal,Happy Thanksgiving 🍽🦃🍁,Grateful for all at UGA love your number one fan from the Big Apple 🍎,Happy Thanksgiving and Go Dawgs!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We have so much to be grateful for this holiday season. From Hairy Dawg's table to yours::: we wish you a happy Thanksgiving!,11/24/2021 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
